Estudiante,Ordenada estimada ,Pendiente estimada,R2 
1015/22,"104,352","0,038","0,982"
831/23,"102,828","0,039","0,978"
969/22,"105,220","0,382","0,994"
43/23,"103,28","0,042","0,98"
442/24,"102,012","0,041","0,972"
1092/22,"106,353","0,037","0,989"
1193/22,"104,3523","0,0377","0,982"
366/22,"104,3522917","0,03766425","0,9815339041"
149/23,"107,35","0,035","0,9887"
1164/23,"103,3226038","0,03945736","0,9874662751"
175/23,"104,8620595","0,0394345","0,9778"
657/24,"106,898","0,036","0,96"
1097/23,"102,5993","0,042","0,963"
392/23,"104,3523","0,0377","0,982"
90/12,"105,96","0,0384","0,994"
437/23,"106,9021553","0,03371052",
1172/23,"104,3522917","0,03766425","0,982"
653/19,"106,09","0,037","0,968"
1080/23,"103,9025588","0,03750347","0,9914333844"
279/23,"104,5600595","0,0359745","0,9742880953"
764/24,"104,951598","0,03835911","0,956806665"
234/24,"105,39","0,035","0,978"
338/23,"103,71","0,0379195","0,9809"
310/23,"104,4659187","0,04022459","0,984"